
映像名称                       PID 会话名              会话#       内存使用  状态            用户名                                                 CPU 时间 窗口标题                                                                
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                   714:21:54 暂缺                                                                    
RuntimeBroker.exe            12004 Console                    1     12,404 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:03:32 暂缺                                                                    
svchost.exe                  12356 Services                   0      1,768 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
svchost.exe                  13188 Services                   0     11,092 K Unknown         暂缺                                                    0:00:03 暂缺                                                                    
SecurityHealthSystray.exe     5012 Console                    1      3,008 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:01 暂缺                                                                    
SecurityHealthService.exe    13304 Services                   0      8,952 K Unknown         暂缺                                                    0:00:03 暂缺                                                                    
RtkAudUService64.exe          8004 Console                    1      2,364 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:00 RealtekAudioBackgroundProcessClass                                      
SurfaceDTX.exe                6628 Console                    1     58,184 K Running         DESKTOP-CBSK60R\OCEAN                                   0:01:14 Hidden Window                                                           
CastSrv.exe                  13408 Console                    1     10,456 K Running         DESKTOP-CBSK60R\OCEAN                                   0:01:50 暂缺                                                                    
eudic.exe                    14004 Console                    1     34,176 K Running         DESKTOP-CBSK60R\OCEAN                                   0:01:27 暂缺                                                                    
百度翻译.exe                 14208 Console                    1     65,792 K Running         DESKTOP-CBSK60R\OCEAN                                   1:57:03 BdTranslateClient                                                       
百度翻译.exe                 14280 Console                    1      3,216 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:08 暂缺                                                                    
百度翻译.exe                 13472 Console                    1     27,824 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:06:25 暂缺                                                                    
百度翻译.exe                 12844 Console                    1     12,492 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:09 暂缺                                                                    
百度翻译.exe                 11248 Console                    1     42,404 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:01:42 暂缺                                                                    
百度翻译.exe                 11608 Console                    1      7,068 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:03 暂缺                                                                    
百度翻译.exe                  2428 Console                    1     10,736 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:01 暂缺                                                                    
百度翻译.exe                  2696 Console                    1     10,944 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:01 暂缺                                                                    
百度翻译.exe                  2392 Console                    1     10,208 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:01 暂缺                                                                    
百度翻译.exe                 13560 Console                    1     12,684 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:02 暂缺                                                                    
IGCCTray.exe                 14496 Console                    1     16,236 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:16 .NET-BroadcastEventWindow.4.0.0.0.189441b.0                             
IGCC.exe                     14716 Console                    1     12,328 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:04 暂缺                                                                    
Rainmeter.exe                14812 Console                    1      9,996 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:46 C:\Users\OCEAN\Documents\Rainmeter\Skins\illustro\Clock\R.ini           
baidupinyin.exe              14872 Console                    1     78,340 K Running         DESKTOP-CBSK60R\OCEAN                                   0:01:59 暂缺                                                                    
ImeCard.exe                  15112 Console                    1      3,484 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:02 智能推荐                                                                
ApplicationFrameHost.exe     15324 Console                    1     29,844 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:13 Microsoft Edge                                                          
svchost.exe                   8712 Services                   0      1,864 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
svchost.exe                   9468 Services                   0      4,848 K Unknown         暂缺                                                    0:00:02 暂缺                                                                    
svchost.exe                   8364 Console                    1     10,880 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:05 暂缺                                                                    
SgrmBroker.exe               12104 Services                   0      4,484 K Unknown         暂缺                                                    0:00:38 暂缺                                                                    
svchost.exe                   1820 Services                   0     11,984 K Unknown         暂缺                                                    0:00:11 暂缺                                                                    
svchost.exe                  13680 Services                   0      4,728 K Unknown         暂缺                                                    0:00:01 暂缺                                                                    
